Instance abcdsat CryptoMiniSat5 Lingeling MapleCOMSPS MiniSat2.2 Riss6 Rokk
Volfram96_75.cnf 13.916 44.0948 65.9 15.524 27.8 4.288 12.764
Volfram96_76.cnf 59.472 24.1058 29.1 34.14 31.52 79.352 135.312
Volfram96_77.cnf 8.804 12.1824 43.2 20.288 62.624 26.792 101.824
Volfram96_78.cnf 12.152 124.158 164.5 88.772 134.788 87.828 58.46
Volfram96_79.cnf 18.08 12.9972 42.2 28.38 15.156 18.808 4.908
Volfram96_8.cnf 28.436 39.7919 57 76.096 35.532 26.728 41.62
Volfram96_80.cnf 38.932 27.5949 167.2 104.844 327.02 54.816 176.22
Volfram96_81.cnf 41.916 46.1424 48.1 107.304 64.644 27.084 59.496
Volfram96_82.cnf 8.932 37.8295 132.2 17 69.572 10.548 13.824
Volfram96_83.cnf 78.668 45.2773 112.9 7.924 206.608 84.412 51.272
Volfram96_84.cnf 17.736 22.9818 76.6 33.384 2.98 29.824 23.984
Volfram96_85.cnf 20.828 12.355 46.1 52.2 64.808 14.668 14.448
Volfram96_86.cnf 16.264 51.1327 31.4 43.336 199.556 101.996 35.356
Volfram96_87.cnf 118.396 54.992 78 21.876 13.736 38.752 11.164
Volfram96_88.cnf 5.172 39.9255 77.3 39.58 8.304 2.42 27.116
Volfram96_89.cnf 137.124 125.723 60 38.852 28.26 17.076 57.672
Volfram96_9.cnf 3.72 22.4349 127.2 171.616 9.108 197.508 239.444
Volfram96_90.cnf 28.764 28.72 57.1 60.452 41.936 8.76 42.172
Volfram96_91.cnf 40.06 45.9546 82.4 41.18 63.94 47.092 14.8
Volfram96_92.cnf 84.516 119.275 118.4 35.028 54.824 96.82 64.712
Volfram96_93.cnf 11.988 31.2888 35.6 16.172 4.708 15.512 6.756
Volfram96_94.cnf 41.704 23.9554 88.5 31.66 100.252 64.708 100.892
Volfram96_95.cnf 71.324 112.425 87.9 60.964 28.552 89.856 88.796
Volfram96_96.cnf 38.368 12.7064 33.3 16.468 25.68 22.924 38.584
Volfram96_97.cnf 32.42 9.53447 39.7 19.932 13.68 43.372 60.972
Volfram96_98.cnf 183.14 202.448 253.7 155.212 75.516 205.508 34.588
Volfram96_99.cnf 13.768 59.8511 83.8 47.476 58.784 52.496 61.876
Volfram128_0.cnf 832.64 2503.47 4448.3 880.74 217.564 213.424 828.424
Volfram128_1.cnf 332.256 1472.02 442 472.648 1652.47 260.008 528.572
Volfram128_10.cnf 161.136 482.004 2985.9 943.784 5000 226.464 859.192
Volfram128_11.cnf 63.048 341.546 408.9 305.636 1328.44 88.816 931.456
Volfram128_12.cnf 1153.62 297.235 815.3 1109.76 175.248 1429.25 1641.36
Volfram128_13.cnf 279.248 489.386 1511.7 1411.7 278.988 728.72 690.792
Volfram128_14.cnf 248.852 174.521 604.9 537.06 604.344 349.412 410.228
Volfram128_15.cnf 732.952 856.81 762.1 1468.76 977.232 251.328 785.94
Volfram128_16.cnf 1412.29 219.621 2078.9 591.508 1399.25 1412.12 1579.09
Volfram128_17.cnf 360.336 114.96 568.9 442.444 256.26 273.804 131.224
Volfram128_18.cnf 372.128 332.037 540.1 1034.46 4815.22 389.004 717.156
Volfram128_19.cnf 556.736 476.944 327.2 393.984 2767.41 913.656 1370.48
Volfram128_2.cnf 319.204 178.138 599.7 938.248 2474.54 581.14 1053.03
Volfram128_20.cnf 2502.17 441.505 4993.8 5000.01 5000.01 2835.26 1077.64
Volfram128_21.cnf 1933.08 191.312 1767.8 223.864 1947.85 1729.82 190
Volfram128_22.cnf 2454.08 378.256 4359.4 1354.5 3495.48 1325.15 726.368
Volfram128_23.cnf 464.012 2002.95 4988.2 1961.64 5000.01 267.188 996.78
Volfram128_24.cnf 1812.96 1026.29 4580.8 540.148 5000.01 521.128 940.82
Volfram128_25.cnf 754.104 1186.79 981.6 1306.16 428.544 467.828 167.752
Volfram128_26.cnf 3200.65 5000.01 4983 5000 5000 1293.55 787.84
Volfram128_27.cnf 984.752 1193.38 278.8 82.276 1236.88 817.448 486.236
Volfram128_28.cnf 1357.11 3478.54 4997 2124.14 3685.06 1795.63 5000
Volfram128_29.cnf 253.448 774.962 576.7 680.828 269.804 179.464 170.956
Volfram128_3.cnf 259.632 519.624 218.8 197.02 250.924 68.256 350.072
Volfram128_30.cnf 245.548 363.151 173.6 157.116 638.788 85.928 824.852
Volfram128_31.cnf 1392.88 3811.86 4994 521.24 5000 906.032 1281.56
Volfram128_32.cnf 454.864 362.828 493.7 687.996 959.724 1114.84 332.652
Volfram128_33.cnf 1665.15 269.701 736.4 828.812 647.4 408.924 908.42
Volfram128_34.cnf 849.984 3866.88 4995.4 1038.76 5000 4308.32 5000
Volfram128_35.cnf 334.56 1411.3 1798.8 2966.73 5000 1715.8 2509.1
Volfram128_36.cnf 671.508 522.199 798.8 767.804 1029.69 223.248 1183.49
Volfram128_37.cnf 356.424 147.591 1484 1084.45 1227.8 332.448 2219.98
Volfram128_38.cnf 287.792 244.63 1102.1 491.484 1103.61 278.644 574.792
Volfram128_39.cnf 913.192 627.494 2190.5 168.176 45.24 1058.19 1111.49
Volfram128_4.cnf 544.756 974.998 2372.3 909.472 941.936 936.412 134.304
Volfram128_40.cnf 71.744 26.9059 571.8 2446.47 417.212 118.344 972.744
Volfram128_41.cnf 519.616 3402.75 4972.3 192.952 5000 412.6 209.968
Volfram128_42.cnf 206.504 473.271 956.2 35.244 5000.01 107.44 326.372
Volfram128_43.cnf 199.2 155.294 548.9 550.228 1748.41 205.988 1085.18
Volfram128_44.cnf 63.08 224.772 171.1 566.428 403.388 19.864 217.376
Volfram128_45.cnf 27.376 112.749 523 243.768 233.62 207.668 169.348
Volfram128_46.cnf 294.936 1885.25 3596.7 1570.26 393.14 1006.24 200.388
Volfram128_47.cnf 976.296 761.817 2165.2 377.292 112.032 887.104 477.284
Volfram128_48.cnf 379.204 1484.33 2071 481.348 1843.74 188.168 135.752
